0.0001	 -30000	9.997e+07	-29990	9.997e+07	-29996.6	9.997e+07
0.0121	 -247.934	6582.21	-238.231	6591.92	-244.524	6585.62
0.0241	 -124.481	1597.25	-115.06	1606.68	-121.074	1600.66
0.0361	 -83.1026	684.235	-73.9531	693.384	-79.7002	687.637
0.0481	 -62.3701	369.856	-53.4817	378.744	-58.9741	373.252
0.0600999	 -49.9168	226.938	-41.2795	235.575	-46.5287	230.326
0.0720999	 -41.6089	150.758	-33.213	159.154	-38.2301	154.137
0.0840999	 -35.6718	105.715	-27.5082	113.879	-32.3038	109.083
0.0960999	 -31.2175	77.0639	-23.2773	85.0041	-27.8614	80.42
0.1081	 -27.7521	57.8234	-20.027	65.5485	-24.4092	61.1663
0.1201	 -24.9792	44.3498	-17.4611	51.8679	-21.6506	47.6784
0.1321	 -22.7101	34.5953	-15.3913	41.9141	-19.3968	37.9085
0.1441	 -20.8189	27.3396	-13.692	34.4665	-17.5219	30.6365
0.1561	 -19.2185	21.8204	-12.2765	28.7624	-15.9387	25.1001
0.1681	 -17.8465	17.5422	-11.0826	24.3061	-14.5848	20.804
0.1801	 -16.6574	14.1726	-10.0652	20.7648	-13.4145	17.4155
0.1921	 -15.6169	11.4817	-9.19003	17.9085	-12.3934	14.7051
0.2041	 -14.6987	9.30703	-8.43132	15.5744	-11.4953	12.5104
0.2161	 -13.8825	7.5312	-7.76887	13.6448	-10.6999	10.7138
0.2281	 -13.1521	6.06772	-7.18685	12.033	-9.99077	9.22908
0.2401	 -12.4948	4.85188	-6.67259	10.6741	-9.35519	7.9915
0.2521	 -11.9	3.83453	-6.21589	9.51868	-8.78262	6.95196
0.2641	 -11.3593	2.97784	-5.80843	8.52876	-8.2645	6.07269
0.2761	 -10.8656	2.25237	-5.44334	7.67466	-7.79373	5.32427
0.2881	 -10.4131	1.63492	-5.11496	6.93302	-7.36442	4.68356
0.3001	 -9.99668	1.10705	-4.81852	6.2852	-6.97157	4.13216
0.3121	 -9.61231	0.65397	-4.55003	5.71625	-6.61099	3.6553
0.3241	 -9.25641	0.263715	-4.30608	5.21404	-6.27907	3.24105
0.3361	 -8.92592	-0.0734679	-4.08379	4.76866	-5.97275	2.8797
0.3481	 -8.61822	-0.365585	-3.88069	4.37195	-5.68937	2.56327
0.3601	 -8.33103	-0.619249	-3.69462	4.01715	-5.42661	2.28516
0.3721	 -8.06236	-0.839958	-3.52376	3.69864	-5.18247	2.03993
0.3841	 -7.81047	-1.03231	-3.36649	3.41167	-4.95519	1.82298
0.3961	 -7.57385	-1.20016	-3.22141	3.15228	-4.74321	1.63048
0.4081	 -7.35115	-1.34677	-3.0873	2.91707	-4.54517	1.4592
0.4201	 -7.14116	-1.47492	-2.96308	2.70316	-4.35986	1.30639
0.4321	 -6.94284	-1.58695	-2.8478	2.50809	-4.18619	1.16971
0.4441	 -6.75524	-1.68488	-2.74062	2.32974	-4.0232	1.04716
0.4561	 -6.57751	-1.77044	-2.6408	2.16627	-3.87003	0.937039
0.4681	 -6.40889	-1.84513	-2.54766	2.01611	-3.72591	0.83786
0.4801	 -6.2487	-1.91023	-2.46063	1.87785	-3.59013	0.74835
0.4921	 -6.09633	-1.96686	-2.37916	1.7503	-3.46206	0.667404
0.5041	 -5.95121	-2.016	-2.3028	1.63241	-3.34114	0.594063
0.5161	 -5.81283	-2.0585	-2.23111	1.52323	-3.22685	0.527488
0.5281	 -5.68075	-2.09509	-2.1637	1.42195	-3.11871	0.466948
0.5401	 -5.55453	-2.12644	-2.10025	1.32784	-3.01629	0.4118
0.5521	 -5.4338	-2.15311	-2.04043	1.24026	-2.91921	0.361481
0.5641	 -5.31821	-2.17561	-1.98396	1.15863	-2.8271	0.315495
0.5761	 -5.20743	-2.19439	-1.93059	1.08245	-2.73964	0.273403
0.5881	 -5.10118	-2.20984	-1.88009	1.01125	-2.65652	0.234818
0.600099	 -4.99917	-2.22231	-1.83224	0.94462	-2.57746	0.199395
0.612099	 -4.90116	-2.23212	-1.78685	0.882197	-2.50221	0.166831
0.624099	 -4.80693	-2.23953	-1.74375	0.823648	-2.43054	0.136853
0.636099	 -4.71624	-2.2448	-1.70277	0.768671	-2.36222	0.10922
0.648099	 -4.62892	-2.24815	-1.66377	0.716995	-2.29705	0.0837155
0.660099	 -4.54477	-2.24978	-1.62662	0.668374	-2.23485	0.0601459
0.672099	 -4.46363	-2.24985	-1.59119	0.622585	-2.17543	0.0383384
0.684099	 -4.38533	-2.24854	-1.55736	0.579424	-2.11865	0.0181375
0.696099	 -4.30973	-2.24598	-1.52505	0.538705	-2.06435	-0.000596383
0.708099	 -4.23669	-2.2423	-1.49414	0.500259	-2.01239	-0.0179889
0.720099	 -4.16609	-2.23761	-1.46455	0.463932	-1.96263	-0.0341532
0.732099	 -4.0978	-2.23203	-1.4362	0.42958	-1.91497	-0.0491917
0.744099	 -4.03172	-2.22563	-1.40901	0.397074	-1.86928	-0.0631966
0.756099	 -3.96773	-2.21852	-1.38292	0.366294	-1.82546	-0.0762516
0.768099	 -3.90574	-2.21076	-1.35785	0.33713	-1.78341	-0.0884324
0.780099	 -3.84566	-2.20243	-1.33376	0.309479	-1.74304	-0.0998078
0.792099	 -3.7874	-2.19358	-1.31058	0.283248	-1.70427	-0.11044
0.804099	 -3.73088	-2.18427	-1.28826	0.25835	-1.667	-0.120386
0.816099	 -3.67602	-2.17456	-1.26676	0.234705	-1.63116	-0.129697
0.828099	 -3.62275	-2.16449	-1.24602	0.212239	-1.59668	-0.138421
